PHASE                   RATE1           ERROR1
0.000000000000000E+00   8.9631760E-01   1.2267966E-01
3.125000000000000E-02   8.2821143E-01   1.0988256E-01
6.250000000000000E-02   5.1335931E-01   1.1803749E-01
9.375000000000000E-02   7.2743636E-01   1.1979344E-01
1.250000000000000E-01   9.2061704E-01   1.1729948E-01
1.562500000000000E-01   1.0550171E+00   1.2056076E-01
1.875000000000000E-01   1.0596436E+00   1.1492603E-01
2.187500000000000E-01   1.0875113E+00   1.2353796E-01
2.500000000000000E-01   1.0114145E+00   1.1899491E-01
2.812500000000000E-01   9.8366326E-01   1.1216566E-01
3.125000000000000E-01   1.0523688E+00   1.1768126E-01
3.437500000000000E-01   1.0620390E+00   1.1130166E-01
3.750000000000000E-01   1.2221550E+00   1.2055261E-01
4.062500000000000E-01   1.4002161E+00   1.1475550E-01
4.375000000000000E-01   1.1661327E+00   1.1543556E-01
4.687500000000000E-01   1.1790745E+00   1.2337791E-01
5.000000000000000E-01   1.0793064E+00   1.1977758E-01
5.312500000000000E-01   1.2252237E+00   1.0771938E-01
5.625000000000000E-01   1.3496404E+00   1.1895906E-01
5.937500000000000E-01   1.0473226E+00   1.1468732E-01
6.250000000000000E-01   8.7823516E-01   1.1667734E-01
6.562500000000000E-01   8.9685923E-01   1.1638204E-01
6.875000000000000E-01   8.2488406E-01   1.1733411E-01
7.187500000000000E-01   8.2768381E-01   1.1673606E-01
7.500000000000000E-01   8.3776551E-01   1.1273545E-01
7.812500000000000E-01   7.0010370E-01   1.1207934E-01
8.125000000000000E-01   9.5568424E-01   1.0611518E-01
8.437500000000000E-01   9.4439870E-01   1.1410201E-01
8.750000000000000E-01   1.1035280E+00   1.1356010E-01
9.062500000000000E-01   8.5519952E-01   1.0737494E-01
9.375000000000000E-01   1.1762276E+00   1.1426847E-01
9.687500000000000E-01   1.1327606E+00   1.1847237E-01
