PHASE                   RATE1           ERROR1
0.000000000000000E+00   1.0507107E+00   1.0080588E-01
3.125000000000000E-02   1.1136887E+00   1.0272859E-01
6.250000000000000E-02   8.7719464E-01   9.5400065E-02
9.375000000000000E-02   5.5256963E-01   9.6531674E-02
1.250000000000000E-01   9.8553783E-01   1.0364992E-01
1.562500000000000E-01   8.2893682E-01   1.0029571E-01
1.875000000000000E-01   6.8378770E-01   9.6495017E-02
2.187500000000000E-01   1.1302649E+00   1.1225656E-01
2.500000000000000E-01   1.0512751E+00   9.6441865E-02
2.812500000000000E-01   1.1679451E+00   1.0056432E-01
3.125000000000000E-01   9.6246958E-01   1.1916397E-01
3.437500000000000E-01   1.3816568E+00   1.0632480E-01
3.750000000000000E-01   7.6463085E-01   1.0256501E-01
4.062500000000000E-01   1.1463907E+00   1.0503534E-01
4.375000000000000E-01   1.2935660E+00   9.7601071E-02
4.687500000000000E-01   1.1427019E+00   1.0109579E-01
5.000000000000000E-01   1.1955290E+00   9.6632577E-02
5.312500000000000E-01   1.0741942E+00   1.0649953E-01
5.625000000000000E-01   1.0197321E+00   1.0190986E-01
5.937500000000000E-01   1.1206081E+00   9.7606078E-02
6.250000000000000E-01   8.2959229E-01   1.0197403E-01
6.562500000000000E-01   8.5677922E-01   9.3528792E-02
6.875000000000000E-01   9.7595090E-01   1.0689191E-01
7.187500000000000E-01   8.8119489E-01   1.0077903E-01
7.500000000000000E-01   7.6004219E-01   9.8353729E-02
7.812500000000000E-01   9.4716060E-01   1.0188691E-01
8.125000000000000E-01   9.8800397E-01   1.0208723E-01
8.437500000000000E-01   8.9783555E-01   1.0099953E-01
8.750000000000000E-01   8.5192072E-01   9.3187548E-02
9.062500000000000E-01   1.0510747E+00   9.7672500E-02
9.375000000000000E-01   1.1856160E+00   1.0450436E-01
9.687500000000000E-01   1.2314353E+00   9.2261635E-02
