# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
50178.64869863926  0.01138888889  3.26816e+01  1.28866e-01  1.00000
50178.71684678741  0.01268518519  2.96512e+01  1.16306e-01  1.00000
50178.78629123185  0.01546296297  2.62973e+01  9.92058e-02  1.00000
50178.85536530594  0.01787037037  2.48597e+01  8.97242e-02  1.00000
50413.26230975037  0.01814814815  3.67963e+01  1.08599e-01  0.99490
50413.31999493556  0.00916666667  3.55889e+01  1.49892e-01  1.00000
50413.40008752815  0.01685185185  3.03546e+01  1.02098e-01  1.00000
50413.46805049112  0.01555555555  3.13785e+01  1.10027e-01  0.96429
50413.54156900963  0.00870370370  3.13344e+01  1.44340e-01  1.00000
50413.60999493556  0.00694444445  3.16721e+01  1.62461e-01  1.00000
50414.54221715778  0.00879629630  3.44762e+01  1.50604e-01  1.00000
50414.60842086149  0.00481481482  3.69862e+01  2.10842e-01  1.00000
50415.27286530593  0.00703703704  3.16507e+01  1.61334e-01  1.00000
50415.33203197260  0.01712962963  3.00292e+01  1.00722e-01  1.00000
50415.47425419482  0.01064814815  2.25425e+01  1.11170e-01  0.99130
50415.54268012075  0.00888888889  2.53037e+01  1.28350e-01  1.00000
50415.61110604667  0.00712962963  2.51871e+01  1.42983e-01  1.00000
50415.67962456519  0.00546296296  2.81255e+01  1.72609e-01  1.00000
51780.20138382443  0.00870370370  2.05864e+01  1.16995e-01  1.00000
51780.26980975036  0.01064814815  1.76388e+01  9.79096e-02  1.00000
51780.33879123184  0.01314814815  2.23224e+01  9.94721e-02  0.99296
51780.40730975036  0.01537037037  1.94469e+01  8.55680e-02  1.00000
51804.52397641703  0.01648148148  1.93390e+01  8.24038e-02  1.00000
51804.59203197258  0.01472222222  1.97874e+01  8.81933e-02  1.00000
51804.66018012073  0.01305555556  2.31155e+01  1.01585e-01  0.99291
51804.72453197258  0.00740740741  1.85075e+01  1.20246e-01  1.00000
51804.79647641703  0.00953703704  1.75099e+01  1.03077e-01  1.00000
51804.86462456518  0.00787037037  2.13286e+01  1.25231e-01  1.00000
