TIME	RATE	ERROR
51498.08614	2.0	1.41421
51498.08615	4.0	2.0
51498.08617	2.0	1.41421
51498.08618	5.0	2.23607
51498.08619	9.0	3.0
51498.0862	2.0	1.41421
51498.08621	4.0	2.0
51498.08622	6.0	2.44949
51498.08623	2.0	1.41421
51498.08625	6.0	2.44949
51498.08626	4.0	2.0
51498.08627	3.0	1.73205
51498.08628	3.0	1.73205
51498.08629	5.0	2.23607
51498.0863	5.0	2.23607
51498.08632	4.0	2.0
51498.08633	11.0	3.31662
51498.08634	7.0	2.64575
51498.08635	3.0	1.73205
51498.08636	5.0	2.23607
51498.08637	5.0	2.23607
51498.08639	7.0	2.64575
51498.0864	3.0	1.73205
51498.08641	2.0	1.41421
51498.08642	2.0	1.41421
51498.08643	7.0	2.64575
51498.08644	3.0	1.73205
51498.08645	3.0	1.73205
51498.08647	6.0	2.44949
51498.08648	2.0	1.41421
51498.08649	2.0	1.41421
51498.0865	1.0	1.0
51498.08651	10.0	3.16228
51498.08652	4.0	2.0
51498.08654	6.0	2.44949
51498.08655	7.0	2.64575
51498.08656	8.0	2.82843
51498.08657	7.0	2.64575
51498.08658	5.0	2.23607
51498.08659	4.0	2.0
51498.08661	1.0	1.0
51498.08662	5.0	2.23607
51498.08663	1.0	1.0
51498.08664	1.0	1.0
51498.08665	6.0	2.44949
51498.08666	3.0	1.73205
51498.08667	3.0	1.73205
51498.08669	3.0	1.73205
51498.08671	6.0	2.44949
51498.08672	8.0	2.82843
51498.08673	7.0	2.64575
51498.08674	8.0	2.82843
51498.08676	5.0	2.23607
51498.08677	6.0	2.44949
51498.08678	3.0	1.73205
51498.08679	4.0	2.0
51498.0868	1.0	1.0
51498.08681	4.0	2.0
51498.08683	5.0	2.23607
51498.08684	4.0	2.0
51498.08685	6.0	2.44949
51498.08686	6.0	2.44949
51498.08687	1.0	1.0
51498.08688	1.0	1.0
51498.08689	6.0	2.44949
51498.08691	7.0	2.64575
51498.08692	2.0	1.41421
51498.08693	5.0	2.23607
51498.08694	5.0	2.23607
51498.08695	4.0	2.0
51498.08696	3.0	1.73205
51498.08698	4.0	2.0
51498.08699	4.0	2.0
51498.087	2.0	1.41421
51498.08701	3.0	1.73205
51498.08702	10.0	3.16228
51498.08703	8.0	2.82843
51498.08705	9.0	3.0
51498.08706	4.0	2.0
51498.08707	8.0	2.82843
51498.08708	6.0	2.44949
51498.08709	4.0	2.0
51498.0871	8.0	2.82843
51498.08711	7.0	2.64575
51498.08713	7.0	2.64575
51498.08714	6.0	2.44949
51498.08715	4.0	2.0
51498.08716	4.0	2.0
51498.08717	3.0	1.73205
51498.08718	3.0	1.73205
51498.0872	4.0	2.0
51498.08721	4.0	2.0
51498.08722	7.0	2.64575
51498.08723	5.0	2.23607
51498.08724	3.0	1.73205
51498.08725	2.0	1.41421
51498.08726	2.0	1.41421
51498.08728	5.0	2.23607
51498.08729	4.0	2.0
51498.0873	5.0	2.23607
51498.08731	9.0	3.0
51498.08732	2.0	1.41421
51498.08733	6.0	2.44949
51498.08735	4.0	2.0
