Time	CountRate	Error
43468.60387	-0.38691	4.09188
43468.67676	-1.01731	3.80668
43468.67682	5.79928	4.34543
43468.67682	11.33318	3.02639
43468.67688	5.5908	1.84795
43468.67688	4.14108	1.91677
43468.67693	6.28743	2.79762
43468.67693	6.26663	2.3923
43468.67699	3.80779	3.35902
43468.67705	-0.69939	7.39657
43468.7497	1.60753	4.06527
43468.74976	2.5014	2.51947
43468.74976	1.4426	3.44388
43468.74982	2.18947	1.93143
43468.74982	1.27002	1.57466
43468.74988	3.27053	3.30673
43468.74988	2.45011	2.46781
43468.74994	-0.99815	3.73498
43468.92053	4.07121	4.79637
43468.92059	5.10617	2.6615
43468.92059	-1.11477	4.81267
43468.92065	9.49621	2.2124
43468.92065	4.38419	1.74026
43468.92071	8.30923	2.86217
43468.92071	8.14754	2.42786
43468.92076	4.3235	3.40086
43468.9453	8.22624	4.96329
43468.9453	4.98261	2.98831
43468.94535	8.10859	2.49092
43468.94535	5.8645	2.11096
43468.94541	7.32335	3.47723
43468.94541	4.12039	2.67898
43468.94547	4.71349	4.15797
43469.14237	7.7595	3.80257
43469.14243	4.44706	2.1793
43469.14243	5.08052	3.06532
43469.14249	6.19978	1.72192
43469.14249	0.10374	1.4161
43469.14255	2.35939	2.08132
43469.14255	4.41612	3.30902
43469.14261	2.51749	3.58939
43469.1912	6.95176	6.13245
43469.19126	4.48699	2.91734
43469.19132	7.14318	2.19435
43469.19132	5.4425	2.16035
43469.19138	0.11631	1.58762
43469.19138	3.69191	1.75297
43469.19144	0.96517	2.44081
43469.1915	0.34204	4.66906
43469.26438	-0.70261	7.43061
43469.26444	8.70277	3.82006
43469.2645	7.83798	2.82133
43469.2645	6.82444	2.50018
43469.26456	7.44832	2.28809
43469.26456	5.60426	2.01729
43469.26461	5.67582	2.95841
43469.26461	-0.02369	5.56766
43469.26467	8.24158	5.35849
43469.38662	12.88255	6.31313
43469.38668	1.95599	2.78882
43469.38674	5.71026	2.1799
43469.38674	5.45992	2.16726
43469.3868	2.74166	1.82947
43469.3868	5.88119	2.15461
43469.38686	5.77521	3.01022
43469.38691	2.05669	5.20115
43469.51034	8.83345	4.60427
43469.5104	5.72478	2.51288
43469.5104	11.59856	5.91511
43469.51046	1.54475	1.55591
43469.51046	5.18241	1.71296
43469.51052	4.15646	1.92389
43469.51052	2.19055	1.88049
43469.51058	7.78953	3.10634
43469.51064	6.22417	6.26913
43469.58382	13.68779	4.34089
43469.58382	2.49209	4.04085
43469.58387	-2.30838	5.18582
43469.65616	15.20206	7.03654
43469.65622	5.34364	4.20331
43469.65622	9.418	4.47179
43469.65628	6.25005	4.06364
43469.65628	4.1113	3.52938
43469.65634	3.98219	5.67774
43469.8549	-8.572	6.00787
43470.22459	2.38295	6.02621
43470.22465	10.23567	4.49292
