TIME	RATE	ERROR
43467.77219	2.226	3.51462
43467.77219	-3.82917	2.15017
43467.77225	0.60127	4.15139
43467.82066	6.42356	4.51296
43467.82072	1.23976	2.24264
43467.82072	3.04608	3.85882
43467.82078	4.80193	1.83699
43467.82078	2.56216	1.55435
43467.82083	3.3926	2.74886
43467.82083	2.48902	2.10035
43467.82089	5.25649	3.69302
43467.84501	-5.32778	5.8452
43467.84507	1.29167	3.07975
43467.84513	3.55488	2.15659
43467.84513	4.21269	2.24294
43467.84519	2.92931	2.2444
43467.84519	-0.43842	2.01938
43467.84525	1.37571	3.28012
43467.84531	19.52304	8.46166
43467.91813	5.26574	3.69952
43467.91819	6.9328	3.0373
43467.91819	6.37615	2.34964
43467.91825	6.15004	1.81391
43467.91825	7.89122	2.01942
43467.91831	5.87348	2.54568
43467.91831	4.88262	3.95615
43467.91837	-2.30946	3.89585
43468.01637	0.02805	8.17964
43468.01643	3.7733	3.54989
43468.01649	6.3178	2.6301
43468.01649	2.36925	2.22897
43468.01655	7.52342	2.42679
43468.01655	0.25756	1.86084
43468.01661	1.30407	3.1093
43468.01667	2.86141	6.82249
43468.08961	10.65805	4.241
43468.08967	3.67129	2.38443
43468.08967	8.27462	3.28422
43468.08973	4.45809	1.8559
43468.08973	1.47437	1.81489
43468.08979	5.81217	4.22579
43468.08979	3.7475	2.63286
43468.08985	-1.20581	4.18287
43468.21167	10.69892	4.63712
43468.21173	6.31536	3.83126
43468.21173	3.29582	2.31553
43468.21179	3.02217	1.71029
43468.21179	3.70863	1.62478
43468.21185	2.24023	2.10759
43468.21185	1.76388	2.78497
43468.21191	3.47767	3.70462
43468.23609	4.44239	5.46838
43468.23615	3.77136	2.88956
43468.23615	6.8992	6.33201
43468.2362	2.05674	1.93496
43468.2362	2.5397	1.84651
43468.23626	3.03078	2.4557
43468.23626	5.23148	2.37556
43468.23632	-2.791	3.06205
43468.23638	-7.04897	7.73355
43468.2861	6.86339	4.14898
43468.28616	-0.71791	3.30668
43468.28616	9.33386	2.69073
43468.28621	6.14439	1.81225
43468.28621	2.62926	1.70766
43468.28627	4.21775	2.55873
43468.28627	6.18778	2.28023
43468.28633	5.25395	3.41234
43468.28639	15.98167	9.04425
43468.36022	8.15266	4.10146
43468.36028	5.44596	3.05875
43468.36028	7.19827	2.6526
43468.36034	6.30911	2.05045
43468.36034	8.40387	2.3042
43468.3604	-0.82227	3.78737
43468.3604	6.64036	2.87806
43468.36046	6.73887	4.73449
43468.4097	7.02531	6.60935
43468.40976	11.81056	3.49605
43468.40982	4.81155	2.08542
43468.40982	3.97497	2.08138
43468.40988	6.64123	2.14223
43468.40988	4.02117	1.97456
43468.40994	6.36041	3.03494
43468.41	9.45663	6.1419
43468.43417	4.58628	4.31474
43468.43423	2.19989	2.34346
43468.43423	5.82949	3.85188
43468.43429	4.71242	1.78852
43468.43429	1.84911	1.73963
43468.43435	2.90386	3.08469
43468.43435	9.05995	2.68184
43468.43441	11.25672	4.47922
43468.48252	17.28796	9.7835
43468.48258	12.60341	3.94606
43468.48264	9.09951	2.95732
43468.48264	7.99547	2.43274
43468.4827	7.46712	1.97148
43468.4827	4.11902	1.8704
43468.48276	6.67427	4.41008
43468.48276	2.59172	2.43827
43468.48282	-1.76008	4.01064
43468.55511	4.84536	4.08873
43468.55517	9.60522	3.64549
43468.55517	2.219	2.36381
43468.55523	5.68985	2.09674
43468.55523	0.4815	1.56249
43468.55529	2.9853	3.78182
43468.55529	6.42106	2.78301
43468.55535	6.68645	4.69766
43468.60364	5.0285	4.24327
43468.6037	4.85742	2.58621
43468.6037	-0.62983	2.901
43468.60376	0.76938	1.83444
43468.60376	6.31043	2.05087
43468.60382	4.70076	4.31431
43468.60382	6.40752	2.90958
43468.60387	0.01587	4.62728
43468.62781	1.46725	3.49837
43468.62787	3.56381	2.31462
43468.62787	1.12531	2.37888
43468.62793	4.64166	2.03354
43468.62793	0.00625	1.82261
43468.62799	7.43354	6.82243
43468.62799	8.55872	3.27415
43468.62805	-0.77361	5.4907
43468.67676	-1.34091	4.65155
43468.67682	3.8892	4.92689
43468.67682	6.39859	3.05316
43468.67688	1.40482	1.77965
43468.67688	5.58219	2.22124
43468.67693	2.06844	2.62033
43468.67693	3.73782	2.42764
43468.67699	3.94468	3.71112
43468.67705	3.57332	8.5199
43468.72523	4.32757	5.32703
43468.72529	5.53302	5.87758
43468.72529	7.13734	2.96051
43468.72535	3.64598	1.94121
43468.72535	3.48072	1.82258
43468.7254	4.55879	2.29345
43468.7254	1.91789	2.42961
43468.72546	1.44585	3.44734
43468.7497	-1.34854	4.67801
43468.74976	8.62623	3.29998
43468.74976	15.01182	5.2497
43468.74982	-0.57134	1.98193
43468.74982	1.50101	1.9015
43468.74988	4.78116	2.89025
43468.74988	8.9959	3.94116
43468.74994	-1.82874	4.16708
43468.82341	7.52451	6.34952
43468.82347	4.26277	3.26607
43468.82347	1.87411	6.0816
43468.82353	1.23818	1.95496
43468.82353	0.30067	2.07595
43468.82359	3.92047	3.17657
43468.82359	3.1616	2.6679
43468.82365	1.19332	4.20989
43468.92053	8.7076	6.11765
43468.92059	9.62018	3.30675
43468.92059	4.03855	6.37644
43468.92065	3.87567	2.0635
43468.92065	4.58498	2.00871
43468.92071	1.14909	2.42915
43468.92071	4.76	2.39467
43468.92076	-1.95481	3.2976
43468.9453	3.97205	3.35179
43468.9453	5.2369	5.56301
43468.94535	4.08261	2.29301
43468.94535	9.17317	2.79107
43468.94541	10.231	3.88299
43468.94541	-0.3721	2.64101
43468.94547	-0.59481	4.2217
43469.11796	-1.88962	6.55498
43469.11802	7.17268	3.42252
43469.11808	4.06876	2.1663
43469.11808	2.23181	2.04834
43469.11814	4.6239	2.20634
43469.11814	5.20799	2.28165
43469.1182	2.13286	3.11928
43469.11826	-7.72571	6.20114
43469.14237	-1.09895	3.81218
43469.14243	4.90146	3.56365
43469.14243	6.51402	2.59203
43469.14249	3.70472	1.86378
43469.14249	3.72266	1.72289
43469.14255	2.52418	3.19767
43469.14255	3.6706	2.38398
43469.14261	1.09836	3.87492
43469.1912	11.15123	7.83446
43469.19126	3.07494	3.27561
43469.19132	4.22331	2.24859
43469.19132	3.21094	2.33454
43469.19138	5.89504	2.17235
43469.19138	1.96872	1.80688
43469.19144	4.95649	2.99624
43469.19144	2.95277	6.2421
43469.1915	0.75968	5.24512
43469.26444	2.72104	3.97948
43469.2645	-1.02522	2.53979
43469.2645	3.02372	2.55155
43469.26456	5.31089	2.21092
43469.26456	1.71807	2.11486
43469.26461	16.72296	6.63739
43469.26461	9.77444	3.4759
43469.26467	0.7732	5.33849
43469.31255	1.65488	5.83824
43469.31261	8.23954	5.99063
43469.31261	-1.68667	2.84526
43469.31267	2.21775	2.03543
43469.31267	2.69004	2.26998
43469.31273	0.383	2.64441
43469.31273	-1.27061	3.14769
43469.31279	-2.58272	4.35682
43469.33685	5.45478	5.81076
43469.3369	5.99686	3.19287
43469.3369	12.41138	6.49885
43469.33696	3.82569	2.16501
43469.33696	3.57906	2.0102
43469.33702	0.96144	2.29238
43469.33702	0.35524	2.56662
43469.33708	3.64041	3.87798
43469.38662	7.65458	7.20137
43469.38668	0.90674	3.19888
43469.38674	7.35769	2.52906
43469.38674	5.44101	2.51816
43469.3868	2.22843	2.09649
43469.3868	1.5317	1.94038
43469.38686	2.07786	3.03884
43469.38686	4.62753	7.30638
43469.38691	4.8472	5.96667
43469.51034	9.69873	5.48865
43469.5104	4.9397	2.79545
43469.5104	1.83184	5.94442
43469.51046	5.07842	1.92742
43469.51046	3.09259	1.8695
43469.51052	5.19439	2.15459
43469.51052	2.25203	2.06689
43469.51058	0.82099	2.89637
43469.51064	5.52147	6.79668
43469.53493	6.08171	4.65972
43469.53499	-4.93999	3.41902
43469.53499	0.32797	2.26444
43469.53505	0.44549	1.44563
43469.53505	0.91387	1.65313
43469.53511	-2.84155	1.7785
43469.53511	1.22244	2.58422
43469.53517	4.93179	3.77866
43469.58382	-3.2484	3.56388
43469.58382	-5.4897	3.79949
43469.58387	0.02092	6.10113
43469.65616	-7.07119	6.56808
43469.65622	6.41824	5.20039
43469.65622	0.01537	4.48303
43469.65628	3.85518	4.09526
43469.65628	8.76821	4.6684
43469.65634	2.63576	6.28446
43469.73029	-6.55528	6.08888
43469.73035	7.8521	5.18834
43469.73035	7.02176	4.5605
43469.73041	11.80273	4.34937
43469.73041	10.21713	4.0552
43469.73047	6.09749	5.73647
43469.8549	8.29235	8.83351
43469.85496	-2.53202	6.27261
43469.85496	-0.66685	4.733
43469.85502	7.38474	4.17913
43469.85502	6.74835	3.79024
43469.85508	9.88038	8.00559
43469.85508	8.5377	5.54507
43469.85514	7.64516	9.41084
43470.14987	0.02196	6.40437
43470.14993	-0.21127	5.77933
43470.14993	3.91434	3.68258
43470.14999	3.34915	2.43503
43470.14999	3.50385	2.6846
43470.15005	0.0108	3.14864
43470.15005	-0.85601	3.94276
43470.1501	4.79452	5.90183
43470.17458	14.34882	7.63965
43470.17464	18.15869	6.35018
43470.17464	5.6048	5.97057
43470.1747	0.02733	7.97126
43470.22459	13.12929	7.93677
43470.22465	2.50645	5.29859
43470.22465	3.79638	4.67317
43470.22471	9.21123	4.0355
43470.22471	4.26134	4.00904
43470.22476	2.2726	5.41857
43470.29907	7.97899	8.4997
43470.29913	0.02946	8.59123
43470.37391	1.00058	6.90839
43470.37397	2.50927	4.53911
43470.37397	8.12528	4.92925
43470.37403	10.55893	5.0383
43470.37403	9.64729	5.05152
43470.37408	3.85535	6.97408
43470.42291	9.94593	7.62042
43470.42297	-1.36089	4.72084
43470.42297	-0.15821	4.32786
43470.42303	9.50905	6.91364
43470.42303	7.96079	6.09944
43470.42309	1.29321	8.9288
43470.4712	1.33464	4.33099
43470.4712	6.16184	5.19964
43470.47126	15.96858	7.25116
43470.49561	0.02244	6.54447
