TIME	RATE	ERROR
45881.11881	0.32663	0.32663
45881.11886	0.65907	0.46603
45881.11895	0.30266	0.30266
45881.11905	0.74485	0.52669
45881.11909	0.35554	0.35554
45881.11914	0.36885	0.36885
45881.11918	0.34503	0.34503
45881.11928	0.26933	0.35078
45881.11937	0.40084	0.40084
45881.11942	0.36927	0.36927
45881.11974	0.75399	0.53315
45881.11979	0.80209	0.56716
45881.11983	0.33659	0.33659
45881.11988	1.05366	0.60833
45881.11997	0.40988	0.40988
45881.12002	0.40098	0.40098
45881.12011	0.56146	0.56146
45881.1202	1.01817	0.638
45881.12025	0.3623	0.3623
45881.12039	0.42926	0.42926
45881.12043	0.96749	0.68412
45881.12048	0.97836	0.6918
45881.12053	0.54522	0.54522
45881.12057	0.43907	0.43907
45881.12062	0.36956	0.36956
45881.12067	0.82139	0.58081
45881.12071	1.09443	0.77388
45881.12076	-0.10001	0.10001
45881.12081	0.58109	0.58109
45881.12085	-0.11433	0.11433
45881.1209	0.51804	0.51804
45881.12094	0.95692	0.67664
45881.12099	0.69636	0.69636
45881.12113	0.53359	0.53359
45881.12136	0.47294	0.47294
45881.1215	0.45616	0.59411
45881.12155	1.94967	1.12564
45881.12168	0.52334	0.52334
45881.12173	0.46053	0.46053
45881.12187	0.55095	0.55095
45881.12192	1.331	0.94116
45881.12233	1.2187	0.86175
45881.12238	0.36693	0.47789
45881.12243	0.40931	0.40931
45881.12247	0.21742	0.3982
45881.12266	-0.3209	0.18527
45881.1227	0.4326	0.4326
45881.12275	0.50385	0.50385
45881.12298	0.40566	0.52833
45881.12335	0.63073	0.63073
45881.1234	0.51143	0.51143
45881.12354	0.65947	0.65947
45881.12358	0.53863	0.53863
45881.12386	0.6314	0.6314
45881.12405	0.34862	0.34862
45881.12409	0.37767	0.37767
45881.12414	-0.13985	0.13985
45881.12419	-0.13542	0.13542
45881.12428	-0.14478	0.14478
45881.12432	0.46716	0.46716
45881.12446	0.47656	0.47656
45881.12451	0.4187	0.4187
45881.12456	0.44405	0.44405
45881.12474	0.40079	0.40079
45881.12479	0.41005	0.41005
45881.12488	0.50465	0.50465
45881.12502	0.38038	0.38038
45881.1253	0.94146	0.66572
45881.12534	0.97174	0.68712
45881.12539	0.55636	0.55636
45881.12544	0.59012	0.59012
45881.12553	0.61762	0.61762
45881.12581	0.90897	0.64274
45881.1259	0.5067	0.5067
45881.12599	-0.27994	0.19795
45881.12622	0.49161	0.49161
45881.12627	0.53803	0.70073
45881.12631	-0.10687	0.10687
45881.12669	0.84528	0.5977
45881.12678	1.09604	0.77502
45881.12696	0.64098	0.64098
45881.12701	0.60003	0.60003
45881.12706	-0.11601	0.11601
45881.1271	0.65299	0.65299
45881.12715	-0.1456	0.1456
45881.12724	0.53803	0.53803
45881.12738	-0.131	0.131
45881.1277	0.60751	0.60751
45881.12775	0.54665	0.54665
45881.1278	0.48392	0.48392
45881.12784	0.95791	0.67735
