Phase	Weighted_Average	Error
0.75	1.1378843	0.025921326
0.75	1.0177132	0.021369968
0.78125	0.0	0.0
0.78125	0.6472316	0.006847191
0.78125	0.645642	0.0061384016
0.78125	0.0	0.0
0.78125	0.647049	0.006853702
0.78125	0.64528275	0.006122823
0.78125	0.0	0.0
0.78125	0.0	0.0
0.8125	1.0110759	0.0075028418
0.8125	1.0113652	0.007521783
0.8125	2.6950517	0.03912864
0.8125	2.6497588	0.04241379
0.8125	0.992454	0.008173954
0.8125	2.650077	0.04237006
0.8125	0.9930877	0.008185562
0.8125	2.6953232	0.03904216
0.84375	0.912573	0.00838565
0.84375	0.9076166	0.009489413
0.84375	0.9131303	0.008408183
0.84375	0.90849316	0.009483558
0.84375	0.0	0.0
0.84375	0.0	0.0
0.84375	0.0	0.0
0.84375	0.0	0.0
0.875	0.0	0.0
0.875	0.0	0.0
0.875	0.53380483	0.0059569604
0.875	0.0	0.0
0.875	0.5442737	0.0067327823
0.875	0.0	0.0
0.875	0.5335551	0.0059690597
0.875	0.54462856	0.0067423326
0.90625	1.0228035	0.008794103
0.90625	0.0	0.0
0.90625	1.007929	0.009508763
0.90625	0.0	0.0
0.90625	1.0084404	0.009521643
0.90625	0.0	0.0
0.90625	0.0	0.0
0.90625	1.0234437	0.008775958
0.9375	0.0	0.0
0.9375	0.7077562	0.008654372
0.9375	0.709032	0.008641592
0.9375	0.0	0.0
0.9375	0.0	0.0
0.9375	0.6994714	0.009414569
0.9375	0.0	0.0
0.9375	0.69974184	0.009426752
0.96875	0.5596672	0.0067869625
0.96875	0.0	0.0
0.96875	0.0	0.0
0.96875	0.56013906	0.0068052053
0.96875	0.0	0.0
0.96875	0.0	0.0
0.96875	0.5854936	0.007759819
0.96875	0.58524305	0.007749694
