Time	Count	Error
120872760.0148	2.0	1.41421
120872761.0148	14.0	3.74166
120872762.0148	18.0	4.24264
120872763.0148	16.0	4.0
120872764.0148	17.0	4.12311
120872765.0148	20.0	4.47214
120872766.0148	19.0	4.3589
120872767.0148	11.0	3.31662
120872768.0148	19.0	4.3589
120872769.0148	24.0	4.89898
120872770.0148	20.0	4.47214
120872771.0148	21.0	4.58258
120872772.0148	9.0	3.0
120872773.0148	13.0	3.60555
120872774.0148	14.0	3.74166
120872775.0148	12.0	3.4641
120872776.0148	18.0	4.24264
120872777.0148	17.0	4.12311
120872778.0148	14.0	3.74166
120872779.0148	13.0	3.60555
120872780.0148	15.0	3.87298
120872781.0148	22.0	4.69042
120872782.0148	6.0	2.44949
120872783.0148	15.0	3.87298
120872784.0148	22.0	4.69042
120872785.0148	10.0	3.16228
120872786.0148	15.0	3.87298
120872787.0148	16.0	4.0
120872788.0148	13.0	3.60555
120872789.0148	16.0	4.0
120872790.0148	12.0	3.4641
120872791.0148	11.0	3.31662
120872792.0148	17.0	4.12311
120872793.0148	28.0	5.2915
120872794.0148	15.0	3.87298
120872795.0148	13.0	3.60555
120872796.0148	9.0	3.0
120872797.0148	15.0	3.87298
120872798.0148	20.0	4.47214
120872799.0148	12.0	3.4641
120872800.0148	21.0	4.58258
120872801.0148	15.0	3.87298
120872802.0148	17.0	4.12311
120872803.0148	21.0	4.58258
120872804.0148	19.0	4.3589
120872805.0148	12.0	3.4641
120872806.0148	15.0	3.87298
120872807.0148	16.0	4.0
120872808.0148	17.0	4.12311
120872809.0148	17.0	4.12311
120872810.0148	12.0	3.4641
120872811.0148	17.0	4.12311
120872812.0148	10.0	3.16228
120872813.0148	19.0	4.3589
120872814.0148	14.0	3.74166
120872815.0148	15.0	3.87298
120872816.0148	14.0	3.74166
120872817.0148	7.0	2.64575
120872818.0148	13.0	3.60555
120872819.0148	9.0	3.0
120872820.0148	11.0	3.31662
120872821.0148	18.0	4.24264
120872822.0148	18.0	4.24264
120872823.0148	13.0	3.60555
120872824.0148	21.0	4.58258
120872825.0148	18.0	4.24264
120872826.0148	14.0	3.74166
120872827.0148	17.0	4.12311
120872828.0148	13.0	3.60555
120872829.0148	19.0	4.3589
120872830.0148	15.0	3.87298
120872831.0148	14.0	3.74166
120872832.0148	13.0	3.60555
120872833.0148	12.0	3.4641
120872834.0148	15.0	3.87298
120872835.0148	10.0	3.16228
120872836.0148	13.0	3.60555
120872837.0148	17.0	4.12311
120872838.0148	15.0	3.87298
120872839.0148	15.0	3.87298
120872840.0148	14.0	3.74166
120872841.0148	20.0	4.47214
120872842.0148	23.0	4.79583
120872843.0148	20.0	4.47214
120872844.0148	15.0	3.87298
120872845.0148	14.0	3.74166
120872846.0148	12.0	3.4641
120872847.0148	13.0	3.60555
120872848.0148	13.0	3.60555
120872849.0148	15.0	3.87298
120872850.0148	17.0	4.12311
120872851.0148	17.0	4.12311
120872852.0148	10.0	3.16228
120872853.0148	10.0	3.16228
120872854.0148	6.0	2.44949
120872855.0148	18.0	4.24264
120872856.0148	12.0	3.4641
120872857.0148	18.0	4.24264
120872858.0148	12.0	3.4641
120872859.0148	7.0	2.64575
120872860.0148	12.0	3.4641
120872861.0148	15.0	3.87298
120872862.0148	12.0	3.4641
120872863.0148	14.0	3.74166
120872864.0148	17.0	4.12311
120872865.0148	22.0	4.69042
120872866.0148	17.0	4.12311
120872867.0148	10.0	3.16228
120872868.0148	24.0	4.89898
120872869.0148	15.0	3.87298
120872870.0148	14.0	3.74166
120872871.0148	13.0	3.60555
120872872.0148	9.0	3.0
120872873.0148	17.0	4.12311
120872874.0148	15.0	3.87298
120872875.0148	8.0	2.82843
120872876.0148	23.0	4.79583
120872877.0148	14.0	3.74166
120872878.0148	11.0	3.31662
120872879.0148	8.0	2.82843
120872880.0148	20.0	4.47214
120872881.0148	18.0	4.24264
120872882.0148	13.0	3.60555
120872883.0148	12.0	3.4641
120872884.0148	4.0	2.0
120872885.0148	8.0	2.82843
120872886.0148	17.0	4.12311
120872887.0148	7.0	2.64575
120872888.0148	15.0	3.87298
120872889.0148	20.0	4.47214
120872890.0148	18.0	4.24264
120872891.0148	11.0	3.31662
120872892.0148	7.0	2.64575
120872893.0148	13.0	3.60555
120872894.0148	16.0	4.0
120872895.0148	14.0	3.74166
120872896.0148	13.0	3.60555
120872897.0148	13.0	3.60555
120872898.0148	16.0	4.0
120872899.0148	10.0	3.16228
120872900.0148	15.0	3.87298
120872901.0148	13.0	3.60555
120872902.0148	7.0	2.64575
120872903.0148	13.0	3.60555
120872904.0148	17.0	4.12311
120872905.0148	12.0	3.4641
120872906.0148	20.0	4.47214
120872907.0148	19.0	4.3589
