PHASE   RATE1   ERROR1
0.000000000000000E+00   9.6773517E-01   3.8385508E-03
3.125000000000000E-02   6.3612640E-01   2.8931659E-03
6.250000000000000E-02   6.3930517E-01   1.9024062E-03
9.375000000000000E-02   6.6257000E-01   3.3605634E-03
1.562500000000000E-01   1.1009616E+00   2.3891740E-03
1.875000000000000E-01   1.1523724E+00   4.2184116E-03
2.500000000000000E-01   1.1511630E+00   2.6890158E-03
2.812500000000000E-01   1.1074445E+00   2.6247676E-03
3.125000000000000E-01   1.1266445E+00   5.3931340E-03
3.437500000000000E-01   1.1710750E+00   2.4202799E-03
3.750000000000000E-01   1.1528867E+00   2.0953678E-03
4.062500000000000E-01   1.2598150E+00   3.7919211E-03
4.375000000000000E-01   1.1763759E+00   2.9572006E-03
4.687500000000000E-01   1.2288860E+00   2.0821916E-03
5.000000000000000E-01   1.2460989E+00   2.6654422E-03
5.312500000000000E-01   1.1516948E+00   3.1631032E-03
5.625000000000000E-01   8.8794518E-01   1.6453420E-03
5.937500000000000E-01   7.9535872E-01   2.3127233E-03
6.250000000000000E-01   9.4912004E-01   3.9023235E-03
6.562500000000000E-01   9.1748321E-01   1.5778923E-03
6.875000000000000E-01   9.5726520E-01   1.8902891E-03
7.187500000000000E-01   9.0723097E-01   4.7580269E-03
7.500000000000000E-01   9.7393256E-01   1.6883272E-03
7.812500000000000E-01   9.2626005E-01   1.7962891E-03
8.125000000000000E-01   7.4227977E-01   3.4865928E-03
8.437500000000000E-01   9.8508561E-01   1.8741175E-03
8.750000000000000E-01   9.9965262E-01   1.8600813E-03
9.062500000000000E-01   9.8833704E-01   3.8322271E-03
9.375000000000000E-01   1.0309229E+00   2.5730815E-03
9.687500000000000E-01   1.0079651E+00   1.9809247E-03
