PHASE   RATE1   ERROR1
0.000000000000000E+00   9.5602310E-01   3.7920943E-03
3.125000000000000E-02   6.2842762E-01   2.8581510E-03
6.250000000000000E-02   6.3156796E-01   1.8793822E-03
9.375000000000000E-02   6.5455121E-01   3.3198919E-03
1.562500000000000E-01   1.0349491E+00   3.4879898E-03
3.750000000000000E-01   1.4945436E+00   4.2580250E-03
4.062500000000000E-01   1.4550365E+00   5.3552976E-03
4.375000000000000E-01   1.2053778E+00   3.3263585E-03
4.687500000000000E-01   1.2140133E+00   2.0569919E-03
5.000000000000000E-01   1.2310178E+00   2.6331833E-03
5.312500000000000E-01   1.1546990E+00   3.2023191E-03
5.625000000000000E-01   1.0419747E+00   2.4193325E-03
5.937500000000000E-01   8.1275427E-01   2.6231916E-03
6.250000000000000E-01   9.3763322E-01   3.8550952E-03
6.562500000000000E-01   9.8890775E-01   2.0423152E-03
6.875000000000000E-01   9.5841247E-01   2.0116125E-03
7.187500000000000E-01   8.9625114E-01   4.7004428E-03
7.500000000000000E-01   1.0460339E+00   2.0970211E-03
7.812500000000000E-01   9.2410636E-01   1.8916740E-03
8.125000000000000E-01   7.3329628E-01   3.4443960E-03
8.437500000000000E-01   1.0193079E+00   2.3037279E-03
8.750000000000000E-01   9.9052882E-01   1.9514227E-03
9.062500000000000E-01   9.7637558E-01   3.7858472E-03
9.375000000000000E-01   1.0184461E+00   2.5419407E-03
9.687500000000000E-01   9.9576610E-01   1.9569504E-03
