PHASE   RATE1   ERROR1
0.000000000000000E+00   8.2281768E-01   2.2678655E-03
3.125000000000000E-02   6.9719589E-01   2.2593495E-03
6.250000000000000E-02   7.7443796E-01   2.3382825E-03
9.375000000000000E-02   8.9567989E-01   2.2933048E-03
1.250000000000000E-01   1.0358092E+00   2.5655129E-03
1.562500000000000E-01   1.0993670E+00   2.6498472E-03
1.875000000000000E-01   1.0599931E+00   2.4360509E-03
2.187500000000000E-01   1.0720835E+00   2.4246348E-03
2.500000000000000E-01   1.0944338E+00   3.4733571E-03
2.812500000000000E-01   1.0748711E+00   2.5603308E-03
3.125000000000000E-01   1.0871161E+00   2.3228708E-03
3.437500000000000E-01   1.1064386E+00   3.3163566E-03
3.750000000000000E-01   1.1175536E+00   2.5904481E-03
4.062500000000000E-01   1.1660846E+00   2.3966823E-03
4.375000000000000E-01   1.2182387E+00   3.2102196E-03
4.687500000000000E-01   1.1341441E+00   2.5973856E-03
5.000000000000000E-01   1.0783180E+00   2.4262159E-03
5.312500000000000E-01   9.7324997E-01   2.8008695E-03
5.625000000000000E-01   8.6631888E-01   2.3412092E-03
5.937500000000000E-01   9.1130412E-01   1.9629309E-03
6.250000000000000E-01   8.9356941E-01   2.0052320E-03
6.562500000000000E-01   8.9159572E-01   2.3652352E-03
6.875000000000000E-01   8.9586884E-01   1.9433791E-03
7.187500000000000E-01   8.8172811E-01   1.9084869E-03
7.500000000000000E-01   8.6499608E-01   2.3182991E-03
7.812500000000000E-01   9.6681011E-01   2.3312236E-03
8.125000000000000E-01   1.0439970E+00   2.4829570E-03
8.437500000000000E-01   1.1380669E+00   2.9958314E-03
8.750000000000000E-01   1.0985138E+00   2.6175734E-03
9.062500000000000E-01   1.0992023E+00   2.4680207E-03
9.375000000000000E-01   1.0048484E+00   2.7123475E-03
9.687500000000000E-01   9.3534827E-01   2.5016419E-03
