PHASE   RATE1   ERROR1
0.000000000000000E+00   8.2809347E-01   2.4031142E-03
3.125000000000000E-02   7.0140654E-01   2.9370261E-03
6.250000000000000E-02   7.4906784E-01   4.3403972E-03
9.375000000000000E-02   9.0917593E-01   2.4262327E-03
1.250000000000000E-01   1.0378172E+00   3.3008698E-03
1.562500000000000E-01   1.1013203E+00   4.8522595E-03
1.875000000000000E-01   1.0864943E+00   3.1942262E-03
2.187500000000000E-01   1.0221622E+00   6.0485625E-03
2.500000000000000E-01   9.9695092E-01   4.9087508E-03
2.812500000000000E-01   1.1115539E+00   3.2062891E-03
3.125000000000000E-01   1.1843741E+00   6.3891103E-03
3.437500000000000E-01   1.1570191E+00   5.0543980E-03
3.750000000000000E-01   1.1112386E+00   3.1899787E-03
4.062500000000000E-01   1.0720686E+00   6.3263653E-03
4.375000000000000E-01   1.2940769E+00   5.0860960E-03
4.687500000000000E-01   1.1346246E+00   3.2109227E-03
5.000000000000000E-01   1.0390425E+00   6.2443190E-03
5.312500000000000E-01   8.8808692E-01   4.2777359E-03
5.625000000000000E-01   8.4601218E-01   2.8866858E-03
5.937500000000000E-01   8.4606445E-01   4.0741544E-03
6.250000000000000E-01   8.7028581E-01   2.6788660E-03
6.562500000000000E-01   8.6586487E-01   2.9133081E-03
6.875000000000000E-01   8.7705004E-01   3.5741548E-03
7.187500000000000E-01   8.7327224E-01   2.6726464E-03
7.500000000000000E-01   8.4739035E-01   2.8861435E-03
7.812500000000000E-01   1.0194694E+00   3.7984496E-03
8.125000000000000E-01   1.0594584E+00   2.6472746E-03
8.437500000000000E-01   1.1258242E+00   4.2010755E-03
8.750000000000000E-01   1.1138959E+00   4.7490471E-03
9.062500000000000E-01   1.1163323E+00   2.6244845E-03
9.375000000000000E-01   1.0459690E+00   3.7070694E-03
9.687500000000000E-01   1.0685353E+00   4.8475089E-03
