PHASE   RATE1   ERROR1
0.000000000000000E+00   8.3980155E-01   7.3953788E-03
3.125000000000000E-02   6.9826889E-01   3.5730924E-03
6.250000000000000E-02   7.8619605E-01   2.7777895E-03
9.375000000000000E-02   8.3416474E-01   7.5774370E-03
1.250000000000000E-01   1.0441643E+00   4.1223695E-03
1.562500000000000E-01   1.0999221E+00   3.1663000E-03
1.875000000000000E-01   1.0316085E+00   3.8015533E-03
2.187500000000000E-01   1.0802380E+00   2.6436846E-03
2.500000000000000E-01   1.1874995E+00   4.9259001E-03
2.812500000000000E-01   1.0204629E+00   4.3081017E-03
3.125000000000000E-01   1.0698000E+00   2.4894108E-03
3.437500000000000E-01   1.0704683E+00   4.4102371E-03
3.750000000000000E-01   1.1449106E+00   4.4972771E-03
4.062500000000000E-01   1.1790326E+00   2.5851431E-03
4.375000000000000E-01   1.1680924E+00   4.1482709E-03
4.687500000000000E-01   1.1487558E+00   4.4758501E-03
5.000000000000000E-01   1.0837389E+00   2.6296694E-03
5.312500000000000E-01   1.0335892E+00   3.7083761E-03
5.625000000000000E-01   9.1390717E-01   4.0451568E-03
5.937500000000000E-01   9.3852270E-01   2.3623207E-03
6.250000000000000E-01   9.2956239E-01   3.0474048E-03
6.562500000000000E-01   9.5010728E-01   4.0975572E-03
6.875000000000000E-01   9.0429407E-01   2.3172016E-03
7.187500000000000E-01   8.9605749E-01   2.7433559E-03
7.500000000000000E-01   9.0745270E-01   3.9409595E-03
7.812500000000000E-01   9.3543208E-01   2.9585939E-03
8.125000000000000E-01   9.8631638E-01   7.6488461E-03
8.437500000000000E-01   1.1581018E+00   4.3010348E-03
8.750000000000000E-01   1.0930228E+00   3.1404798E-03
9.062500000000000E-01   1.0267156E+00   7.7747563E-03
9.375000000000000E-01   9.6191061E-01   4.0063583E-03
9.687500000000000E-01   8.7787986E-01   2.9068184E-03
