50087.358854 0.951 0.473 0.357 0.293 0.298 0.223 0.355 0.299
50091.207558 0.789 0.551 0.189 0.303 0.534 0.257 -0.000 0.372
50095.135868 2.172 0.221 0.648 0.132 0.833 0.112 0.740 0.157
50136.788854 0.266 0.667 0.212 0.323 0.053 0.339 -0.053 0.490
50139.894965 0.921 0.501 0.415 0.311 0.317 0.237 0.268 0.309
50140.136377 0.739 0.325 0.318 0.193 0.245 0.153 0.247 0.206
50141.903144 0.573 0.636 -0.189 0.408 0.672 0.299 -0.215 0.375
50142.310762 1.820 0.581 0.755 0.367 0.578 0.279 0.450 0.356
50147.451817 0.081 1.152 0.272 0.629 0.332 0.614 -0.421 0.783
50150.487280 0.578 0.682 0.403 0.348 0.315 0.345 -0.380 0.465
50151.980892 2.174 1.546 1.013 0.969 0.364 0.763 1.095 1.079
50153.450012 1.516 0.721 0.748 0.448 0.227 0.342 0.550 0.447
50154.447002 -1.650 3.390 -3.730 2.060 0.130 1.820 0.930 2.100
50156.787188 0.558 0.830 0.720 0.472 -0.089 0.410 -0.277 0.545
50157.552465 0.894 0.586 0.198 0.320 -0.000 0.292 0.493 0.393
50159.464965 1.170 0.634 0.172 0.335 0.183 0.319 0.642 0.432
50160.547929 2.038 1.170 2.618 0.739 0.530 0.612 -0.551 0.752
50163.852002 8.600 4.910 3.630 4.030 3.120 2.010 2.480 2.590
50165.643623 0.085 0.655 0.397 0.319 -0.572 0.290 0.215 0.470
50166.679842 -0.132 0.565 0.037 0.293 -0.045 0.276 -0.063 0.387
50167.376447 0.561 0.311 0.036 0.166 0.096 0.146 0.317 0.205
50168.670447 1.511 0.543 0.623 0.277 0.666 0.262 0.293 0.384
50169.661420 0.650 0.464 0.149 0.247 0.053 0.219 0.210 0.306
50170.284965 0.524 0.234 0.216 0.125 0.203 0.112 0.120 0.154
50172.414284 1.631 0.266 0.399 0.153 0.496 0.127 0.590 0.170
50173.485715 1.055 0.259 0.533 0.141 0.348 0.124 0.148 0.171
50174.544758 0.683 0.202 0.293 0.110 0.272 0.096 0.193 0.132
50175.504188 0.808 0.163 0.233 0.088 0.230 0.078 0.297 0.108
50176.301659 0.513 0.205 0.125 0.110 0.332 0.098 0.063 0.137
50177.386509 -0.536 0.628 -0.169 0.313 -0.175 0.310 -0.293 0.464
